LoadCase,zeta1,zeta2,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,H11,H22,H12,G1_11,G1_22,G1_12,G2_11,G2_22,G2_12,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
NC_k0000,-0.0268421052631579,-0.0268421052631579,0.337231415963268,42.0479960870697,-0.342617909736396,54.368969902537,-5.47599835481173,-41.6918255568135,-3.8533645221655,-58.4569349638627,13.1867445037586,1,800,10.4632613450478,-2.04742038329634,2.77722751737796,-1.45343574681684,-4.83973450237426e-19,1.76858494153228e-18,0,-2.26263676035305e-19,-0.00154650651081605,0.000843451172013453,1,5.8075376120631e-20,9.57623779121874e-20,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,-4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523365876973752,0.0100215461421767,0.0100215461421767,-0.0151659779069185,0.00104096102807823,-0.00481282469427187,-0.00481282469427187,0.00423542775782743,5.13707208520712,36.1443235428886,3.17916547603159,-11.1499877254836,3.17916547603159,-11.1499877254836,-14.7849761232705,2.37543316755549,8.67361737988404e-19,3.92684537059389e-19,-3.94125609341318e-20,0,0,0,-0.00523340711650885,-0.0151659745678761,0.0100210450899222,0.00104088811922811,0.00423543471264215,-0.00481258406506862,5.67968400122799e-13,1.69243139103769e-08,3.07319298121323e-12,9.57623779121874e-20,1.73472347597681e-18,1.97530177570304e-15
NC_k0000,-0.0168421052631579,-0.0168421052631579,0.334587964900375,45.4567381825637,-1.32442403852575,53.2890037459962,-4.25995424838881,-45.9473112196377,-1.02807961185256,-56.4974825009686,10.1018686194887,1,800,6.70307987751514,-1.26313742268737,1.79518101009318,-0.919932699291681,-1.83900117271769e-18,2.2400050987936e-20,0,2.40246337109901e-19,-0.00154394766085905,0.000840199626313088,1,-2.24608874659168e-19,9.04426373271756e-20,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,-4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523365876973752,0.0100215461421767,0.0100215461421767,-0.0151659779069185,0.00104096102807823,-0.00481282469427187,-0.00481282469427187,0.00423542775782743,5.07437541799349,36.0267821568754,3.10554653887124,-10.9851310611021,3.10554653887124,-10.9851310611021,-14.7346217075233,2.35492972204845,1.73472347597681e-18,8.57447701168672e-20,7.5787769245893e-20,0,0,0,-0.00523340711650885,-0.0151659745678761,0.0100210450899222,0.00104088811922811,0.00423543471264215,-0.00481258406506862,3.03365695928013e-13,1.07501649091077e-08,5.64142898716062e-12,2.24608874659168e-19,2.60208521396521e-18,3.23522529966622e-14
NC_k0000,-0.00684210526315789,-0.00684210526315789,0.333343932226747,48.4664424010339,-2.16633960562587,51.6672194683893,-3.29505034329985,-49.7664822865752,2.15988058045411,-54.0456066433468,6.7746105840826,1,800,2.7458944089553,-0.505561513045772,0.739309855650171,-0.374612510019353,-1.3445986293172e-18,9.22385792335431e-19,0,3.86829359099198e-19,-0.00154268801535529,0.000838617610771651,1,-4.59165405111875e-20,6.42791341865649e-20,1,-0.00523340711650886,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,-4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523365876973752,0.0100215461421767,0.0100215461421767,-0.0151659779069185,0.00104096102807823,-0.00481282469427187,-0.00481282469427187,0.00423542775782743,5.03368476446964,35.9918739196999,3.06210617732463,-10.8953097279466,3.06210617732463,-10.8953097279466,-14.7188940677328,2.35481852523202,2.38524477946811e-18,3.0461177916028e-19,-3.19467262650469e-19,0,0,0,-0.00523340711650885,-0.0151659745678761,0.0100210450899222,0.00104088811922811,0.00423543471264215,-0.00481258406506862,1.86068566317116e-12,4.78638520866215e-09,3.2611537511847e-12,6.42791341865649e-20,5.20417042793042e-18,3.56370259513486e-14
NC_k0000,0.00315789473684211,0.00315789473684211,0.333160383592357,50.9168180589762,-2.97981009813434,49.4384311001191,-2.46342792133143,-53.0023224584803,5.52517686209071,-51.0280366850959,3.3887379609117,1,800,-1.26873024485366,0.232701298527256,-0.341889552287713,0.172961232170199,1.9857628657193e-19,4.87838038059274e-20,0,9.47459291063138e-19,-0.00154250088883794,0.000838386496353289,1,-1.54798922255222e-19,-1.32004889059381e-22,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,-4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523365876973752,0.0100215461421767,0.0100215461421767,-0.0151659779069185,0.00104096102807823,-0.00481282469427187,-0.00481282469427187,0.00423542775782743,5.02688121558683,35.988015588943,3.05511940436883,-10.8812463657317,3.05511940436883,-10.8812463657317,-14.7170706344807,2.35552454662184,2.06337225951148e-18,-1.23294757583271e-18,1.45169366389504e-19,0,0,0,-0.00523340711650885,-0.0151659745678761,0.0100210450899222,0.00104088811922811,0.00423543471264215,-0.00481258406506862,6.52633164027073e-12,9.05939313008659e-09,1.93737664201321e-12,1.54798922255222e-19,5.20417042793042e-18,7.99775540647895e-15
NC_k0000,0.0131578947368421,0.0131578947368421,0.333994051852518,52.7608543624658,-3.88083825663496,46.6243160677835,-1.64454189974085,-55.6564041352122,8.89331661315833,-47.4182489974374,0.114133643688477,1,800,-5.25854936724775,0.980459927597697,-1.4117695150845,0.719665437528813,1.98989215133717e-18,-6.1131955990119e-20,0,-8.99807070335184e-19,-0.0015433491565626,0.000839443388785598,1,-4.78705127544792e-19,-7.29100625833555e-20,1,-0.00523340711650886,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,-4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523365876973752,0.0100215461421767,0.0100215461421767,-0.0151659779069185,0.00104096102807823,-0.00481282469427187,-0.00481282469427187,0.00423542775782743,5.05602652412097,36.0083457588145,3.08560821582969,-10.9433501201708,3.08560821582969,-10.9433501201708,-14.7264386959814,2.35388140902355,1.73472347597681e-18,7.82041554186058e-19,-2.59213710848127e-19,0,0,0,-0.00523340711650885,-0.0151659745678761,0.0100210450899222,0.00104088811922811,0.00423543471264215,-0.00481258406506862,1.63176022767167e-12,5.41337509702075e-09,5.80598591876377e-12,4.78705127544792e-19,3.46944695195361e-18,6.4985768492087e-14
NC_k0000,0.0231578947368421,0.0231578947368421,0.336053302888957,54.0234550529642,-4.99377165865283,43.3308786354216,-0.727655679484489,-57.785351977869,12.092548129489,-43.2888696442887,-2.86588887566073,1,800,-9.1151487504883,1.75756011744821,-2.42800424890331,1.25947502646278,-5.41629924165842e-18,4.32635312699935e-19,0,-8.3563770713577e-19,-0.00154538866189973,0.000842032812381804,1,-4.70670289770264e-20,1.63899779445264e-20,1,-0.00523340711650884,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,-4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523365876973752,0.0100215461421767,0.0100215461421767,-0.0151659779069185,0.00104096102807823,-0.00481282469427187,-0.00481282469427187,0.00423542775782743,5.11247578012293,36.0851794282184,3.14913286609279,-11.080449477765,3.14913286609279,-11.080449477765,-14.7598231345577,2.36369215418686,2.60208521396521e-18,-1.66014688252875e-18,4.2493240270269e-20,0,0,0,-0.00523340711650885,-0.0151659745678761,0.0100210450899222,0.00104088811922811,0.00423543471264215,-0.00481258406506862,5.95552157162148e-13,5.92837098987745e-09,7.78820290702987e-12,4.70670289770264e-20,9.54097911787244e-18,1.37764752582024e-13
NC_k0001,-0.0268421052631579,-0.0268421052631579,0.224001117952593,120.243441734941,23.7873022876093,139.217762274406,18.5309065127591,-108.002835192569,-27.7395420606768,-146.178223923771,-17.6839240984816,1,800,1.95285801644326,2.91533707551057,1.60650438034477,-2.72432167579569,-7.75379253872507e-19,5.88092328300701e-19,0,-1.84575096651612e-18,0.00160844895960337,-0.00120965898049992,1,-6.07384050724144e-20,-2.43988748010254e-20,1,0.0167936705423597,-0.000560010168439073,-0.000560010168439073,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,-2.16840434497101e-19,1,0.0167935309441877,-0.000560038168947495,-0.000560038168947495,-0.00184701923166981,-0.00691439263323453,0.00122004786847019,0.00122004786847019,-0.00805927470101097,22.5472723568274,-3.89893912546477,-0.221805027680775,-12.7554233429427,-0.221805027680775,-12.7554233429427,12.7073637222255,-5.21198999807403,8.67361737988404e-19,-5.08842288090653e-19,-5.79389310966005e-19,0,0,0,0.0167936705423597,-0.00184734565890285,-0.000560010168439073,-0.00691428473759986,-0.00805919542814356,0.00121998686912674,2.71335315456408e-12,5.08493292210888e-09,1.60311403464401e-12,6.07384050724144e-20,3.46944695195361e-18,7.86817078281477e-14
NC_k0001,-0.0168421052631579,-0.0168421052631579,0.224131475692579,123.46541757447,22.2281433082382,135.21320524632,18.9763293512313,-114.510141279783,-25.3087037080597,-138.878401835353,-18.9854837990652,1,800,1.2127292934961,1.92665039757619,1.03599529805385,-1.7174400420603,-8.63682438623768e-19,1.03460442295682e-18,0,-1.08577712437181e-18,0.0016040667325264,-0.00120711321456719,1,-1.60446818261891e-19,-7.28952103544338e-20,1,0.0167936705423597,-0.000560010168439072,-0.000560010168439072,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,-2.16840434497101e-19,1,0.0167935309441877,-0.000560038168947495,-0.000560038168947495,-0.00184701923166981,-0.00691439263323453,0.00122004786847019,0.00122004786847019,-0.00805927470101097,22.5549888443045,-3.80448308058707,-0.173127425479897,-12.6534875525354,-0.173127425479897,-12.6534875525354,12.563566832806,-5.30967172119325,6.50521303491303e-19,-1.44290973059475e-20,-2.8909764179348e-19,0,0,0,0.0167936705423597,-0.00184734565890285,-0.000560010168439073,-0.00691428473759986,-0.00805919542814356,0.00121998686912674,1.74175871162391e-12,6.24844830599255e-09,4.20558101081961e-12,1.60446818261891e-19,1.73472347597681e-18,2.30335210552398e-14
NC_k0001,-0.00684210526315789,-0.00684210526315789,0.224369439608558,126.797946326854,20.9699053915281,131.522044572312,19.6602501327122,-121.526282732352,-23.1401723779083,-131.501013506425,-20.5709057003609,1,800,0.490914175646939,0.802935385118575,0.426970355052622,-0.697968391596979,-8.57832617331793e-19,1.03297653151132e-18,0,-1.8344880752956e-19,0.00160171348056191,-0.00120575010504475,1,-1.41798215029664e-19,-2.67293303194807e-21,1,0.0167936705423597,-0.000560010168439072,-0.000560010168439072,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,-2.16840434497101e-19,1,0.0167935309441877,-0.000560038168947495,-0.000560038168947495,-0.00184701923166981,-0.00691439263323453,0.00122004786847019,0.00122004786847019,-0.00805927470101097,22.5744323418253,-3.76058240471109,-0.146589195455374,-12.6012626338897,-0.146589195455374,-12.6012626338897,12.5038380512005,-5.36897950942285,1.0842021724855e-18,2.65398096112658e-19,8.34033271963776e-20,0,0,0,0.0167936705423597,-0.00184734565890285,-0.000560010168439073,-0.00691428473759986,-0.00805919542814356,0.00121998686912674,7.93258039229884e-12,4.3392157663498e-09,2.98350335005086e-12,1.41798215029664e-19,2.38524477946811e-18,9.10467293974722e-14
NC_k0001,0.00315789473684211,0.00315789473684211,0.224414418127507,130.221007330198,19.9692459338255,128.044499981974,20.5729257145784,-128.790679993494,-21.2181800903618,-124.182180477379,-22.4036570314809,1,800,-0.226532067721785,-0.3719247679771,-0.197490755780626,0.322113540981312,-2.4287346273537e-18,5.07518319193135e-19,0,-1.54644393366994e-18,0.00160135340885384,-0.00120553879963032,1,2.01753698592361e-20,6.87391414599615e-20,1,0.0167936705423597,-0.000560010168439073,-0.000560010168439073,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,-2.16840434497101e-19,1,0.0167935309441877,-0.000560038168947495,-0.000560038168947495,-0.00184701923166981,-0.00691439263323453,0.00122004786847019,0.00122004786847019,-0.00805927470101097,22.5781568982109,-3.75422239792095,-0.142484797323599,-12.593219963274,-0.142484797323599,-12.593219963274,12.4957041255841,-5.37848608142385,8.67361737988404e-19,-2.6685487453776e-19,-7.29647291603092e-19,0,0,0,0.0167936705423597,-0.00184734565890285,-0.000560010168439073,-0.00691428473759986,-0.00805919542814356,0.00121998686912674,1.63914901253519e-11,5.41403799779723e-09,1.54461552918578e-12,6.87391414599615e-20,3.46944695195361e-18,4.74931206529957e-14
