Case,LoadCase,NX,NY,zeta1,zeta2,strain0,StepTime,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,ALLSE_std,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
1,NC_k0000,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.367914180149014,54.7261259464115,-8.84876824245795,57.4102146577977,-9.50975978443504,-59.5726786515336,12.8540118898555,-61.6399373918577,14.0593023995843,1,320,1.88879333146962,-0.379956726959004,0.497916079488512,-0.331888997697864,-1.99995066758581e-18,7.26273401081425e-19,0,-1.05875809684337e-19,-0.00158587876869612,0.000870221201505465,1,-1.16859074201628e-19,-1.52609277129854e-21,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,0,0,1,-0.00523497994918804,0.0100241766665128,0.0100241766665128,-0.015165995436891,0.00104134379954134,-0.00481408799758895,-0.00481408799758895,0.00423539124505016,5.95981046028152,39.8035379889477,2.64330843990024,-12.6212471611024,2.64330843990024,-12.6212471611024,-14.8054726237457,3.65922353647867,2.60208521396521e-18,1.09954854621316e-18,-4.39646050930947e-19,0.00329627796051406,5.95514716378608e-13,9.03597333569527e-08,1.23706104135497e-12,2.85770597108653e-19,8.67361737988404e-18,9.80709767738132e-14
2,NC_k0001,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.301554897097004,173.343675237645,30.1938880231655,175.602160181559,29.8124792598486,-165.784031500616,-34.4379588206124,-170.326288906779,-33.0903921866335,1,320,0.429278009773499,0.609014670215163,0.342636584396256,-0.57956474647888,-4.29762790159409e-19,-6.17840500396816e-20,0,-2.64245603948773e-19,0.0015281756249204,-0.0011934199497605,1,8.065711827012e-20,-2.92061976463246e-20,1,0.0167936705423597,-0.000560010168439073,-0.000560010168439073,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814357,1,0,0,1,0.0167927980537847,-0.00056018517161671,-0.00056018517161671,-0.00184530548869637,-0.00691495908531653,0.00122036811502334,0.00122036811502334,-0.00805969088356484,30.5329614243697,-4.6065836904933,0.406269152692876,-16.5154857469376,0.406269152692876,-16.5154857469376,16.2566204183967,-7.52086812575554,2.16840434497101e-18,-1.83284977752215e-19,4.63342320884578e-19,0.00581482215648305,1.49086744221282e-12,3.11823590945805e-08,1.12946997807481e-12,1.47509802320791e-19,6.93889390390723e-18,3.63298701720953e-14
3,NC_k0002,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.78053289426326,-123.168330602919,66.6176903555562,-121.893793628697,68.6420504313071,122.207650857151,-69.3280066111697,125.719225205734,-67.0496233166549,1,320,1.16452163848987,2.26278279995184,1.13101046468573,0.802985756958281,2.04696871651081e-20,-3.47623203879152e-19,0,-6.79708647132107e-19,8.36052324687749e-05,-0.000419872008520035,1,3.96762833783379e-20,3.46477172886443e-20,1,-0.0072609762275046,0.00798862637180395,0.00798862637180395,0.00271554906894998,-0.00216661494335418,0.0151594699561672,0.0151594699561672,-0.00644841969049437,1,1.35525271560688e-20,0,1,-0.0072603743672142,0.00799112281754513,0.00799112281754513,0.00271459209716282,-0.00216728598414043,0.0151642072905285,0.0151642072905285,-0.00644842169928888,-19.5468828244807,26.8018882943532,7.94209327990671,17.3813828085829,7.94209327990671,17.3813828085829,50.9309449734812,-11.7871367515912,3.46944695195361e-18,1.40419967121323e-19,4.8951260210899e-19,0.000502066822724718,3.26774949221786e-13,5.41843230706217e-08,7.53936972012054e-13,2.61432646821361e-19,8.67361737988404e-18,1.52235629537018e-14
4,NC_k0003,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.327312031698626,-132.691885381782,6.24465577113945,-133.780289189626,7.68955184405523,128.015315085997,-0.208670235281416,131.218251606035,-2.02678628873925,1,320,0.566461304038111,-0.900803363297009,-0.11033287955543,0.637609924662463,5.1206891546966e-20,2.13928758740914e-19,0,2.57714185832054e-19,-0.000519407071523666,0.00172490978994404,1,9.6722590054798e-21,5.86947086120639e-20,1,-0.0089034159467886,0.00659383141145556,0.00659383141145556,0.00818599167466987,0.011081958503288,-0.00383992549913756,-0.00383992549913756,0.00852556625629547,1,-1.0842021724855e-19,2.16840434497101e-19,1,-0.00890210886120381,0.00659589198377164,0.00659589198377164,0.00818462854031381,0.0110825247040796,-0.00384112547585604,-0.00384112547585604,0.00852653189337568,-22.0172496875685,25.4386524605314,6.45025807959686,13.9681469849648,6.45025807959686,13.9681469849648,-23.8152076954113,2.89583334056556,1.73472347597681e-18,-3.36287997087688e-19,-6.91405651039469e-19,0.000765513602716466,1.20677624459832e-12,6.08355811727146e-08,1.21766176907934e-12,1.3524685155389e-19,5.20417042793042e-18,2.77499489547391e-14
5,NC_k0004,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.196761932714695,36.419789250333,-17.9073681101398,36.1283404373073,-18.7489626944505,-37.7970603316629,12.0429724035526,-38.5500181943486,12.5418310104198,1,320,-0.97048532081127,0.0871030037852858,-0.291516164618578,-0.356121542195662,3.35857386846197e-19,1.55546351106922e-19,0,2.09345075239887e-19,-0.000878609043355232,-0.00183136081357797,1,-5.73478824989749e-20,-1.23542080306279e-19,1,-0.00312662682058422,-0.00671160527592423,-0.00671160527592423,-0.0103971201687872,-0.012762173308884,0.000548361139259963,0.000548361139259963,-0.00859678335400792,1,2.16840434497101e-19,-4.33680868994202e-19,1,-0.00312772309924382,-0.00671370265257295,-0.00671370265257295,-0.0103970804328611,-0.0127626822220384,0.000548532502115982,0.000548532502115982,-0.00859794310934279,4.05484574924836,-24.892905098755,-8.0720720881531,-6.83517732721435,-8.0720720881531,-6.83517732721435,4.82473842572981,-1.39273507009093,2.16840434497101e-18,1.9219456996363e-19,7.33130005267354e-19,0.000943714293342388,1.28268760571241e-12,7.08106953679634e-08,2.0613396329378e-12,2.60736602954172e-19,5.20417042793042e-18,7.54612522414512e-14
6,NC_k0005,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.807760059196266,71.5043897880558,118.326096734343,74.569204624249,121.739130696683,-71.0225913149608,-117.701729363991,-73.3153712727548,-118.478548788619,1,320,2.57733497240897,-0.795157209146029,0.588118661876794,0.226737519220452,-1.03930501465109e-18,4.59122738821366e-19,0,-2.22220417201146e-19,0.000383331611731514,0.000179268797331837,1,6.722753410804e-20,2.30720356279989e-20,1,0.00652234756030476,0.0163762563016298,0.0163762563016298,0.000290094583144853,0.00265900651085749,-0.00602366899317761,-0.00602366899317761,-0.00677038796632783,1,5.42101086242752e-20,-6.7762635780344e-21,1,0.00652212677656215,0.016381373881724,0.016381373881724,0.000290847588929923,0.00265810923857585,-0.00602555138973797,-0.00602555138973798,-0.0067698118957224,12.4089746594039,55.5485987087511,17.6437395008264,-9.09026372045438,17.6437395008264,-9.09026372045438,-18.3568568737048,-18.6633015845525,3.03576608295941e-18,-9.85978132758653e-20,2.76922344289682e-20,0.00440981199218709,8.17646724148915e-13,7.60006302433451e-08,9.13746252669236e-13,3.64927826070105e-19,6.93889390390723e-18,2.39154908695106e-14
7,NC_k0006,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.328464683098937,-103.39206286718,-120.912217207923,-101.158271284819,-122.752579476392,101.314415208095,123.539334568983,102.020443176879,124.612428607762,1,320,1.26427164654417,0.451844825261448,0.566318435695847,-0.0884461675208382,-1.75582871357923e-20,5.57773953035665e-19,0,3.92730189862281e-19,0.000179182483827048,-0.000167576521176298,1,4.86386008631924e-20,-8.42091871939296e-20,1,-0.00398200939445784,0.00754742661982021,0.00754742661982021,0.00927323019774596,-0.0149178558947045,0.000283080721679625,0.000283080721679625,0.00430866511930741,1,-2.16840434497101e-19,2.16840434497101e-19,1,-0.00398076714055207,0.0075497851906389,0.0075497851906389,0.00927240132046544,-0.0149167682442649,0.000283169184405149,0.000283169184405149,0.00430674862583852,-15.7030685655825,37.5586399945028,-14.5173655670742,12.9077663073391,-14.5173655670742,12.9077663073391,-5.66993476465115,19.0740514589938,1.30104260698261e-18,-1.26416896983776e-23,1.17284752150964e-19,0.000154219120897447,3.9505324630996e-13,8.64732696878689e-08,9.87537383060276e-13,2.25845980752604e-19,3.46944695195361e-18,8.79284544659694e-15
8,NC_k0007,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.249736743453261,-78.254651496127,116.86665592127,-81.5982119633147,121.166126673874,80.0054147309002,-121.642037443922,83.090169798912,-125.41599601473,1,320,-1.39159453100574,-1.04527049609339,-0.804165458942702,0.870406660257392,5.46305369569488e-19,-1.91985311451108e-19,0,-3.0875233253406e-19,0.00103247678740744,-0.000880389196213773,1,7.68850455064238e-20,3.84402094501375e-21,1,0.00182057138377452,-0.00383757236604354,-0.00383757236604354,0.0157517137559357,0.00454043346890259,-0.00171840194232206,-0.00171840194232206,-0.0105011252064776,1,0,0,1,0.00182234617166061,-0.00383877160740793,-0.00383877160740793,0.0157513118028262,0.00453902550761008,-0.00171893894292903,-0.00171893894292903,-0.0105001829242271,-10.7248325412137,-23.0418507438294,11.8935261511717,12.7161760338987,11.8935261511717,12.7161760338987,-11.8852872289487,-21.2682703250047,1.95156391047391e-18,-5.58719181826985e-19,3.54197145716777e-19,0.00231415253914875,9.91370720487709e-13,4.63452348250549e-08,1.1228382256974e-12,2.18945222351144e-19,1.04083408558608e-17,2.66850796541862e-14
9,NC_k0008,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.414388013631448,31.1484682762373,168.147340732408,29.6632083352058,171.421762768715,-29.6646326192209,-172.942042651392,-28.2723122176837,-172.75602658241,1,320,-0.579344033741911,0.861396109058525,0.0930771848544719,0.588163947857044,4.03796487823886e-20,-1.2649339674297e-18,0,-6.83615145438324e-19,-0.00013770887236176,-0.000231067848429071,1,-6.34753258516653e-20,4.64485830396807e-20,1,-0.000324640517658471,-0.00270771985033662,-0.00270771985033662,-0.00777483302139315,0.0130076576265531,0.00866451467893541,0.00866451467893541,-0.00937239892902188,1,0,0,1,-0.000325538949632945,-0.00270856601278985,-0.00270856601278985,-0.00777456736078891,0.0130060511869275,0.00866722233977258,0.00866722233977258,-0.00937050848481061,4.2196436406779,-21.798796043189,19.8116858589522,-2.7301792988155,19.8116858589522,-2.7301792988155,35.7925755700496,-27.6733206580643,1.95156391047391e-18,2.98753198037979e-19,-1.86815173564407e-20,0.000924439058313246,1.98902684294576e-12,4.38872408608903e-08,4.25259133383859e-13,1.65238258201302e-19,6.93889390390723e-18,2.21637599102445e-14
10,NC_k0009,2,2,-0.00460526315789476,-0.00460526315789476,0.01,1,0.456033825168845,91.0668644766798,-145.832209183164,94.9027501138256,-151.44882845576,-87.6906220673148,150.19804727497,-91.0884460357282,155.742651748767,1,320,1.19915766279219,2.5053741611753,1.22249550190925,-0.976125426165852,-5.81743992826227e-19,-1.33098875097199e-19,0,6.8889807228383e-20,0.000309223211585201,0.000878038380772658,1,-4.83197639879676e-21,-2.91735076159765e-21,1,0.00519928019819397,0.000838001429410396,0.000838001429410396,-0.00973762720273093,-0.00541928592851949,0.00975559370658176,0.00975559370658176,0.0123654189958392,1,0,0,1,0.00519793597312341,0.000838263304857086,0.000838263304857086,-0.0097366375360201,-0.00541762516512433,0.00975864232961506,0.00975864232961506,0.01236430089909,15.2204891103708,13.221721154277,-16.1578175163115,-8.9556364587616,-16.1578175163115,-8.9556364587616,43.7093849724551,26.0062807853666,1.95156391047391e-18,1.78293858121344e-19,8.75410262560788e-20,0.0080579132742166,2.85886485143657e-13,5.57813969082396e-08,7.69348936813889e-13,2.28714927644108e-19,5.20417042793042e-18,2.28411357700275e-14
