N,LoadCase,E_true,E_model,Q111_true,Q112_true,Q221_true,Q222_true,Q121_true,Q122_true,Q111_model,Q112_model,Q221_model,Q222_model,Q121_model,Q122_model
1,NC_k0000,0.500960130795777,0.552019975201163,4.7209091481806,18.4400196179013,-3.2761033892833,2.83238396436425,0.64153704745071,-8.46205974724383,-7.11335943243884,13.6208198648313,-6.54136769632737,5.75689389205213,7.51780868395439,-13.5776431428282
1,NC_k0001,0.399706431073544,0.453658416077143,21.4959541384173,-3.80647852843528,13.2818836538708,-5.33456397775874,1.35419715873085,-13.2552802040968,22.8263179413137,-0.761177857033437,1.6582323732428,-10.9542316392339,-5.07961113926954,-0.426359775326851
1,NC_k0002,1.06052736358619,1.05500152436248,-13.2266355362595,12.5998676775511,21.0807458188625,-7.88541819295971,4.44494468173002,10.6225741268063,-9.86927494589589,10.8583126611425,20.6050773812932,-8.76483063681502,3.95670153194167,12.14805502005
1,NC_k0003,0.448621799188448,0.471109576080132,-16.449851884631,11.6317309491441,-15.8553787340789,2.11916865974253,2.71835664935837,11.3698549685412,-12.101714312695,8.9624773732257,-5.21930926852371,11.5881328923934,12.0126567756613,2.95363327708674
1,NC_k0004,0.265070641078253,0.353016351157319,3.96002091824948,-10.1331326098223,4.23089284162876,-0.424817679644458,-4.25810160036153,-4.89083173198069,-4.24977837396981,-9.12255814108155,0.745344246204922,-11.6849327022468,-13.2345891975894,-6.69332247433099
1,NC_k0005,1.07798322439443,1.09653739876518,7.86816597696723,21.569964069922,-4.8688329458443,-12.2889141052507,10.8897493986721,-6.36866919948709,8.86531498636563,22.258959533984,-8.18750036001272,-9.20245683727271,12.9365691662916,-3.89659878385342
1,NC_k0006,0.486580614064581,0.347177202141715,-12.7768364949071,23.9515947223344,-7.4397554332035,15.4847427236618,-13.1716937299104,10.8372753252379,-5.41243275279955,10.2586244757034,0.384769401056006,5.85643023470555,-5.00902294016408,6.49457159596647
1,NC_k0007,0.346337989521872,0.310743977621358,-8.28077296553228,-14.4626288619461,-8.89557435722358,-14.8076546921406,9.33776424693595,9.32885186343187,2.4745597536925,-5.2161108394473,-2.33568885298037,-14.2733550774374,0.477671958669636,9.53718951491735
1,NC_k0008,0.594212549179149,0.466719501430111,5.03391842680724,-16.7208020849248,20.0193221599948,-21.216751521427,16.2777328010352,-4.64158755925218,-0.441258368979752,-3.68039101659698,11.7769945748125,-12.739166061824,6.99994839908981,0.604637215264825
1,NC_k0009,0.619082120075541,0.557384841040323,11.3051736850006,10.982040370062,23.2119935200805,17.6206748848106,-12.1334240643352,-8.02764555301507,7.06697339158805,1.13902955370883,13.2600126393467,16.8073432645133,-3.11349017751966,0.0122102290907223
1,NC_k0010,0.663252688044334,0.731730921549539,-11.9375904760778,-7.34099013269021,-27.512384794615,-10.9415075412149,6.48067829811364,5.60590272231851,-15.1651816220804,-1.55174254492336,-17.1070243877305,-14.5287111555276,-1.34567830084738,-7.92698677291465
1,NC_k0011,0.326767205790948,0.474132294286529,7.28187001215948,6.6132530916923,15.4364946296787,3.07940368097049,1.0517832630451,-1.62519886490608,15.1638158373825,5.05966529407095,10.0193311173032,12.1457549880751,8.67294383462914,9.60841762446272
1,NC_k0012,0.558161888191256,0.627892092073447,-16.4944127100093,-10.8209251324408,-3.40808006628341,9.41690729292271,-6.68326391389762,10.022414332071,-20.7188176753151,-12.6481214599959,4.24142636622414,10.5136150281308,-4.9423214880917,0.277737859738221
1,NC_k0013,0.924503739827381,0.883737876911135,5.67473054487503,3.57848812989572,-24.8648763358361,18.2192596590849,-12.8390774496251,-4.19644825461094,6.78132759015617,-3.70036606908356,-19.8973431707142,13.7200961445102,-6.36597787457473,-8.10481707216523
1,NC_k0014,1.04580114404657,1.07428836518582,-3.46949703576575,-22.6723567877799,7.6544163893064,8.72791276303328,-9.3983952087018,6.30285472528406,2.9525354117252,-21.7403780441131,9.46606788412504,3.83139532992914,-13.9010954669639,10.1321106381216
1,NC_k0015,0.776553881634587,0.714530051618953,15.2948564836875,-23.4096666382507,-8.7947353360612,-4.60078428211422,5.28717524864459,-12.6220161525016,8.94094418058555,-13.7370799288868,-12.8690033115616,1.92804322647843,0.417448257000498,-11.1428528594706
1,NC_k0016,0.575625192167421,0.588698735971295,-19.9579078545047,-9.6327892516418,-3.57236607446348,-3.69643722105566,-1.7042020487417,15.419353815012,-15.7106550360302,-8.20982373295672,5.73687156120488,-12.3476112207454,-9.65359948153034,8.25917793398056
1,NC_k0017,0.572332915472327,0.535164281626729,-5.98060035728106,-2.91609104324618,-12.0008766408015,-17.4220097311639,16.0037335012684,0.865586732920429,-11.2504876737738,6.12608084475654,-8.43857660214134,-6.94324575717467,13.4461930964407,-6.68065034625169
1,NC_k0018,0.903960003821523,0.95634422479782,-2.21324257764797,34.73663631233,5.584979184831,10.1119820081657,-3.96635485121025,1.74487135546356,0.653330501294837,22.6319805706184,4.84426269887985,14.139934992912,11.2191283651598,3.27619069921467
1,NC_k0019,0.632364093198625,0.512276333593198,24.5845848448536,3.440072928104,16.9328390084927,-5.5144080700865,6.60599743274097,-18.9800712772636,17.3283325320704,6.5648417054323,1.78490159303949,1.13431570511922,7.77321575210015,-7.91781977710499
1,NC_k0020,0.56682646090702,0.59198860135679,2.93830194532168,3.1913827497928,9.1014348149225,-21.6530197716786,13.9168146734425,-3.58131264018554,-0.872432668629279,10.3484574963508,3.68492955965778,-23.6722657626846,4.4406754470887,-1.86678855185156
1,NC_k0021,0.456340690031636,0.492679603612283,-16.8011515065083,19.8939374639365,-0.89122573362736,8.85510785169805,-6.45723574388753,9.19373938405197,-21.4344480140276,10.1037426517871,4.95588487693185,5.73752150459018,0.707014278209333,-0.856760328741299
1,NC_k0022,0.599989489038417,0.528252436176653,9.28334934850078,2.8329052690479,5.84435439290024,20.302160480158,-17.5241960165188,-4.0923727073256,12.5298838524198,-6.8500028976956,2.38505144038269,10.0210023623946,-13.7332379721996,2.18307831230053
1,NC_k0023,0.902296508548905,0.891661664979068,6.36689313373951,-12.6796035226382,32.8832544627863,-1.08128299292322,-1.0634781572109,-3.71985838819534,2.43381733499476,-10.176064614375,22.2747036635794,-1.76359300146176,-5.81725337131515,5.47789665620641
1,NC_k0024,0.532467460936786,0.569395288391273,8.95089343186574,-1.55762095164908,-17.9229760229946,-5.55430108287016,6.38713018152882,-4.98023126043385,14.8057209277348,3.0546925326909,-16.4556675373064,-0.25137803250325,6.80823828033675,-2.56989154369685
1,NC_k0025,0.631217217714976,0.511872707212812,-18.1672164374218,-3.1223969333039,-27.7954010887898,10.7531802015245,-8.09796072124298,14.3126925139474,-10.3770493181704,-6.94981415975246,-12.0777586340138,8.11097329389355,-4.86973163115881,3.49484861980148
1,NC_k0026,0.351994238872211,0.445841958338712,2.82527626748903,-4.1232592105436,-0.980740607029221,16.890754205859,-8.90224534404771,-1.92597447398106,1.87810305183999,-8.46989301750116,-0.692028921892789,23.8557438726539,0.513854052242382,-1.33936998521218
1,NC_k0027,0.839551146215625,0.863734459793896,8.67026917466296,-33.7254987831466,-3.460603622357,-12.8872999436228,6.53088801073065,-5.55374669984073,7.43195965490471,-20.2167792430852,-5.71164680720769,-15.3371228678385,-8.77171690380852,-2.96072359876367
1,NC_k0028,0.670591844795231,0.636436983748004,-12.3674059365992,-12.014690427062,12.4046219946597,-8.01942890612476,7.39407451486855,11.1979705328219,-6.40666103893741,-5.84931349421126,15.098102611749,1.26163822048424,5.97060476113311,12.9732173642388
1,NC_k0029,0.480737379761364,0.575503057506003,-0.312664494170573,11.2988022797331,14.95756559261,-2.80096169176978,0.68652616800552,5.15543733004669,12.0289716769707,8.80755237232864,12.611016890901,-5.16906239045419,1.51849348765871,14.9320330932084
1,NC_k0030,0.699005410447731,0.713002300116993,6.34218306717807,15.596771942636,-18.5301245087021,3.61702601578202,-4.10639347379122,-6.6667572080316,3.0577525298919,10.2013343800818,-17.4210137172059,-5.30507316567328,-3.12817243527925,-11.1128716413158
1,NC_k0031,0.723280903390639,0.766480375115258,5.26877672101526,-12.8635815776622,-12.6768054798232,9.15264490177412,-7.12164499802807,-7.8751566369561,-6.65498017338914,-13.0418705441309,-12.3314684623843,5.94381991023551,-8.6568641982397,-15.0956166343585
1,NC_k0032,0.62219424695023,0.647140761400634,14.788509620651,24.2530018316027,1.34945906545175,10.2015271090659,-6.14029710217755,-9.08662655462395,18.6095592216954,15.0699111192154,-4.47308364902538,8.4697269637251,3.35879560225403,-1.22791519455238
1,NC_k0033,0.76393124297906,0.828715880006981,0.26560777548678,-17.5698578567525,21.9863179560167,-15.2301930333381,7.66772820931049,3.10180016530939,5.31893714519185,-8.50935058975109,16.974890218803,-17.5320713348602,-4.39685675601539,11.7543932683853
1,NC_k0034,0.67799152602642,0.657836710696727,4.83916278141153,-12.3303548313705,-11.3138256753738,-23.8688265413885,16.4876775709089,-4.00985430271243,4.88361723423629,0.837859716573231,-11.47628717003,-22.8070957500021,4.13527145619791,-4.38463546101385
1,NC_k0035,0.759381225360957,0.719835382114191,-6.15801584338311,5.24494292579377,19.49074400011,12.6068321121438,-12.8333793450339,6.04253216855007,-4.77719356929038,-3.47594805452133,17.8773353384473,2.84426400727023,-11.4311503968769,8.56124083596361
1,NC_k0036,0.41196312145421,0.388742011348787,-4.43676350839594,-23.1927716640848,-9.8001776539572,-2.29649920845045,3.35638869995565,5.1859454312118,1.14740330388757,-15.4279702258848,-4.07901885199548,5.32018698608311,0.795743513272192,4.38407441109635
1,NC_k0037,0.554671459461925,0.644563437501319,9.5886788624856,12.0176322313733,-9.2663986245584,3.44189529902436,2.9101919171417,-8.49546406215395,7.15652211754837,10.2630915462802,-11.2578166557327,14.1401174884646,12.7936505526501,-7.91657157087394
1,NC_k0038,0.134524985125137,0.170971715166263,3.56775903104904,-7.5836039644857,9.8831802427724,-0.344550861533475,3.6325431219747,-5.54982183238163,-6.07645507175847,-4.37780206992807,5.05014616858173,9.74147622762035,6.11531269260835,-5.94051270845916
1,NC_k0039,0.75038143458127,0.76319031665902,-9.34311077142016,-31.2454346652615,-0.75964896365133,-11.7984347257135,6.67415727306164,5.82529602600794,-12.7249788180524,-19.5388696422465,3.02749025456254,-10.8923926059316,-5.74861019784508,0.673703898248136
1,NC_k0040,0.801885251085743,0.851229905956742,1.6924033256333,-17.1698218019026,-21.6936279701333,2.70659314965227,-5.64870995929306,-0.67089890867216,3.25464097650699,-14.5573892716136,-16.1112402448226,-7.31456942761595,-13.6883978901118,-4.93028875004832
1,NC_k0041,0.481349452883963,0.439034327713557,-9.41273423015829,14.3941725348353,-22.67931824881,-0.53928583214237,0.30176613576339,8.68262832904752,0.942489829844415,11.0568995152841,-12.6266108153546,-3.39586799496759,3.17507262825109,3.96693238949528
1,NC_k0042,0.896718285356557,0.905689341554044,11.7713597452431,15.1060834928154,31.9464677491789,-4.06171093377829,2.8892075624278,-6.4950363651922,13.3053697118107,12.6625219950029,19.0106206230676,-3.29435317961095,4.9370262500913,7.18211862235423
1,NC_k0043,0.0962987442881538,0.202805475785978,-0.142075717672394,1.96977108399142,0.18622211613198,-4.3662454993307,-1.6696588301498,2.08730321664494,4.75502524044981,1.43704065737526,0.455587031834694,-16.5995214507165,-9.0153040524383,4.08709576034281
1,NC_k0044,0.767701889086851,0.797210764922252,-7.99813806243939,-15.2604516754176,-29.1959341338327,0.801064986876528,1.12905047001872,3.10603383685051,-11.5721518182096,-10.7102736406586,-18.8534005343737,4.74728514720891,-0.0638356313344544,-9.11458403090292
1,NC_k0045,0.787636035463981,0.848667577851548,-10.0813460131735,10.1704330763647,20.1895306956714,9.92721152668495,-5.19826113628744,8.0068402810163,-8.89133640565181,3.22783933389454,19.6674908065453,15.3780530521598,4.16258053602746,9.58827780686886
1,NC_k0046,0.82441913905031,0.73701790194423,-20.4091880394702,3.0868791526947,4.3400405051253,8.94731685014381,-7.54112404655827,18.4529765765422,-9.05550586848143,-2.76343483561935,13.3058295929927,7.21035277395192,-3.29438467622987,16.7237513473645
1,NC_k0047,0.839260736777715,0.840477013675927,0.076197322180008,17.2055864358652,17.1749897095621,-9.90563344103042,10.6876176198019,-2.00775747558764,-4.3772641384833,17.5979728630854,11.1203172044234,-0.217700278964671,15.518578719054,0.416628540026135
1,NC_k0048,0.76137196050216,0.770221968257286,-14.0190152638302,23.5234164282949,-9.1145881442613,-6.98323427835311,4.43969852856853,8.48658571925745,-13.0460487508705,19.4619124198217,-2.69040367438405,-10.7025168270988,6.01202753188857,0.452292456895642
1,NC_k0049,0.40612419354099,0.343731556932314,8.62207015287116,21.8501879280225,12.667156169406,5.68675544952203,-5.59612483709724,-8.08813163979302,2.14015848603145,13.277787799135,4.76186617971351,-1.67579370578339,-1.97811960314877,-5.29399294145366
