Case,LoadCase,NX,NY,zeta1,zeta2,strain0,StepTime,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,ALLSE_std,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
1,NC_k0000,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.339733914635316,50.3351156287394,-3.53240048834286,51.4368211009905,-3.99406430313029,-52.5349618344043,5.30013735524471,-53.8436832639079,6.57068956271055,1,640,0.898981997818938,-0.177135218014585,0.238209437335444,-0.132615267433077,-2.18336859370583e-18,-5.34582014474645e-19,0,-2.08831120352621e-19,-0.00154905707611084,0.000842383436088317,1,-4.0952950565492e-20,-4.4303977076635e-20,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,4.33680868994202e-19,0,1,-0.00523380032467865,0.0100218279840698,0.0100218279840698,-0.0151659797851298,0.00104100203930642,-0.0048129600481987,-0.0048129600481987,0.00423542384574415,5.1626804896497,36.4786976938675,3.06953366603234,-11.2689975687489,3.06953366603234,-11.2689975687489,-14.7235802298895,2.59236424129179,2.60208521396521e-18,-6.00569248988389e-19,7.05347987026338e-20,0.00203319999559237,1.75436007680123e-12,2.46954890616241e-08,5.22655808335444e-12,1.84863129813669e-19,1.04083408558608e-17,1.7121162889659e-13
2,NC_k0001,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.236137315928682,136.199475080909,22.1699007385866,137.720105671827,21.8079956980063,-132.119573671527,-24.3126115506219,-135.22524563287,-23.5079796382816,1,640,0.177417320173587,0.255023211812994,0.142705375555564,-0.246310899127462,5.32946954130499e-20,-2.64251152952049e-19,0,-6.89176004969647e-19,0.00158816037676537,-0.00120332769541253,1,7.46455540803427e-21,8.87603713629423e-21,1,0.0167936705423597,-0.000560010168439072,-0.000560010168439072,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,0,1,0.0167934524202159,-0.000560053919233482,-0.000560053919233482,-0.00184683561635123,-0.00691445332452903,0.00122008218060089,0.00122008218060089,-0.00805931929199888,23.7778359972642,-3.91904944050817,-0.12337464182433,-13.1961654068054,-0.12337464182433,-13.1961654068054,13.1048953746527,-5.65492082256086,1.73472347597681e-18,1.67913934410935e-20,-2.580575433178e-19,0.0007223464927436,8.32454841537765e-12,8.86895446955375e-09,2.35994874886665e-12,5.33374344274199e-20,6.93889390390723e-18,1.13634200493827e-13
3,NC_k0002,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.709746671148139,-103.794044217907,55.2194187202513,-103.257783431855,56.5339785423293,103.100169885385,-56.5171993536469,105.355309790545,-55.8378547520863,1,640,0.665800420748536,1.19133954095103,0.612856187360808,0.336577562091288,7.27064185747026e-21,-9.57405310748476e-19,0,-8.19932304572096e-19,-4.27175207181956e-06,-0.000464135074980579,1,-6.29544427123017e-20,1.26657189155495e-19,1,-0.0072609762275046,0.00798862637180394,0.00798862637180394,0.00271554906894999,-0.00216661494335417,0.0151594699561672,0.0151594699561672,-0.00644841969049436,1,-3.3881317890172e-20,1.0842021724855e-19,1,-0.007260825762432,0.00798925048323924,0.00798925048323924,0.00271530982600319,-0.00216678270355074,0.0151606542897575,0.0151606542897575,-0.00644842019269299,-15.5394621890775,25.0577753626009,7.12124477310447,15.559324664964,7.12124477310447,15.559324664964,48.002838793349,-9.18111492042913,2.60208521396521e-18,-2.46329708683507e-19,-8.02036033528658e-19,0.00132617578373222,1.4330444853673e-12,1.60093979271237e-08,3.86809987441452e-12,3.40232554513926e-19,6.93889390390723e-18,3.72735088805416e-14
4,NC_k0003,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.281969915048178,-104.598663572932,10.0378740418955,-105.749565730397,10.8661906066739,102.300681353189,-6.97179018489369,104.336059169067,-7.98307189876391,1,640,0.3080229347122,-0.397079412961601,-0.0293886378223094,0.254701428021053,-7.28357344771317e-20,2.26993387199012e-19,0,-1.02526279657239e-19,-0.00055216874060244,0.00170532720756752,1,-9.86687287221596e-20,-1.06766632376358e-19,1,-0.00890341594678861,0.00659383141145556,0.00659383141145556,0.00818599167466987,0.011081958503288,-0.00383992549913756,-0.00383992549913756,0.00852556625629547,1,0,-4.33680868994202e-19,1,-0.00890308917539241,0.00659434655453458,0.00659434655453458,0.00818565089108085,0.0110821000534859,-0.00384022549331718,-0.00384022549331718,0.00852580766556552,-17.1723181456373,23.7057842623261,6.39729782792857,11.236024295812,6.39729782792857,11.236024295812,-20.1931364523016,1.79291974264916,1.95156391047391e-18,1.01517217889549e-19,3.74096204090332e-19,0.000819240918452137,6.77228786958576e-12,1.96239176413645e-08,4.61251076934983e-12,2.04603434980101e-19,6.93889390390723e-18,1.16195116382787e-13
5,NC_k0004,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.182544525608223,31.0617895094051,-19.5283026117954,31.3672434210845,-19.7205808924699,-32.0915125296926,16.3745561229656,-32.2618461882266,16.7418878848568,1,640,-0.4858402003253,0.0227516303193767,-0.152819228101951,-0.121168074647249,2.9024223624009e-19,1.86759184340997e-19,0,-1.52975473763107e-19,-0.000873367586606715,-0.00181060031457153,1,1.13900837624839e-19,4.3413749578774e-20,1,-0.00312662682058422,-0.00671160527592422,-0.00671160527592422,-0.0103971201687872,-0.012762173308884,0.000548361139259962,0.000548361139259962,-0.00859678335400792,1,0,0,1,-0.00312690089024912,-0.00671212962008641,-0.00671212962008641,-0.0103971102348057,-0.0127623005371726,0.000548403979973968,0.000548403979973967,-0.00859707329284163,3.31998930521909,-23.5732750103366,-7.76271607903256,-5.96262492876606,-7.76271607903256,-5.96262492876606,3.55442583979158,-0.629528870097641,1.73472347597681e-18,-3.22978801558788e-19,-5.01204945876407e-19,0.000124760669165072,4.31151049116095e-12,1.49432411552669e-08,7.05473903242696e-12,2.39352509625254e-19,5.20417042793042e-18,1.39333576477747e-13
6,NC_k0005,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.73869032156764,59.738154646558,100.775244547794,60.763594066632,102.842099902881,-59.010653131323,-100.808894759522,-60.5820502709846,-100.887049719657,1,640,1.27944078025274,-0.352590172658802,0.305860700506007,0.0879211423484011,-2.53911360829277e-18,1.13295068325196e-19,0,-1.44178683675476e-18,0.000434325683045081,8.58553850210749e-05,1,-1.33157731158372e-19,-8.0397798688253e-20,1,0.00652234756030477,0.0163762563016297,0.0163762563016297,0.000290094583144859,0.00265900651085749,-0.0060236689931776,-0.0060236689931776,-0.00677038796632783,1,-5.42101086242752e-20,6.7762635780344e-21,1,0.00652229236436911,0.0163775356966533,0.0163775356966533,0.000290282834591122,0.00265878219278708,-0.0060241395923177,-0.0060241395923177,-0.00677024394867647,9.93705894809924,52.4378719120602,15.8133607345155,-7.76836355170723,15.8133607345155,-7.76836355170723,-17.7054486130845,-15.0106501165471,3.90312782094782e-18,-7.45172495444531e-19,-1.24978784652398e-19,0.0005758746776992,4.38906329323528e-12,2.19445416585727e-08,2.77536116378753e-12,4.29351213623606e-19,1.04083408558608e-17,3.55728463001717e-14
7,NC_k0006,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.272989735937152,-83.0750648818431,-96.2678327807014,-81.788373995843,-97.5621582043678,81.906534663495,97.809086182556,82.3149233622395,98.3163288325579,1,640,0.639513274224297,0.213887978429221,0.281622413375661,-0.0382960094957644,-5.09428003500649e-19,4.83092227158186e-19,0,-7.89420920497465e-19,0.000144012679159773,-0.000145539473050534,1,-6.88199756486455e-20,3.27228362375784e-20,1,-0.00398200939445784,0.0075474266198202,0.0075474266198202,0.00927323019774596,-0.0149178558947045,0.000283080721679624,0.000283080721679624,0.0043086651193074,1,0,-2.16840434497101e-19,1,-0.00398169883098139,0.00754801626252488,0.00754801626252488,0.00927302297842583,-0.0149175839820946,0.000283102837361006,0.000283102837361005,0.00430818599594018,-12.2785264731273,32.6619749204613,-11.5144321800257,10.7175112805387,-11.5144321800257,10.7175112805387,-3.76485969537723,14.935479806616,1.73472347597681e-18,-2.83327558748903e-20,3.07384432550895e-19,0.000744487723520724,4.52150984371544e-12,2.43624274408818e-08,2.4894830446077e-12,1.80366392120978e-19,8.67361737988404e-18,4.01609208011463e-14
8,NC_k0007,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.20489854191516,-65.9458469340833,93.1785753622099,-67.8841612288672,96.1366914615611,66.6631714975801,-95.7130499352491,68.8099638132562,-98.2186971848383,1,640,-0.62645872704123,-0.475205046259279,-0.363549045189154,0.363991595236678,7.05162648941589e-19,-4.40950132217318e-19,0,3.99065014720083e-19,0.00100795804923595,-0.000914005766676333,1,-3.35368703907761e-20,1.05466560134887e-20,1,0.00182057138377452,-0.00383757236604354,-0.00383757236604354,0.0157517137559357,0.00454043346890259,-0.00171840194232206,-0.00171840194232206,-0.0105011252064776,1,0,2.71050543121376e-20,1,0.00182101508074604,-0.00383787217638464,-0.00383787217638464,0.0157516132676583,0.00454008147857947,-0.0017185361924738,-0.0017185361924738,-0.010500889635915,-8.69812244955857,-19.8381352464529,9.43214165602581,10.8030519542539,9.43214165602581,10.8030519542539,-9.7025110940166,-16.6265477013824,1.51788304147971e-18,5.07128257470397e-19,-4.02697238960846e-19,0.000739311302243015,4.54036056229625e-12,1.4367760955197e-08,3.08554563703168e-12,1.23458694769244e-19,6.93889390390723e-18,8.56500710612844e-14
9,NC_k0008,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.346827844398366,22.1977729317715,135.081778800965,21.2273636276503,137.330971233901,-21.4660761640864,-137.703708941961,-20.5042456663122,-137.861952786546,1,640,-0.244511399980135,0.480810884704147,0.0779788299589274,0.249328487845307,-2.02912918796675e-20,-2.51392458000618e-19,0,-2.52080534406827e-19,-0.000154422037832224,-0.000282942550514401,1,5.70261533317847e-20,2.35017092694067e-20,1,-0.000324640517658471,-0.00270771985033661,-0.00270771985033661,-0.00777483302139315,0.0130076576265531,0.00866451467893541,0.00866451467893541,-0.00937239892902188,1,-2.16840434497101e-19,0,1,-0.000324865125652089,-0.00270793139094992,-0.00270793139094992,-0.00777476660624209,0.0130072560166467,0.0086651915941447,0.0086651915941447,-0.00937192631796906,3.15229265822072,-17.8725058929772,16.1852201198413,-1.60250865821293,16.1852201198413,-1.60250865821293,32.1256959821406,-21.6220741633682,1.95156391047391e-18,-6.67516497453878e-20,-2.25930427626599e-19,0.000899828916076047,3.44814499601978e-12,1.57858955889213e-08,1.78849227392018e-12,1.72438566697499e-19,5.20417042793042e-18,3.8174866093174e-14
10,NC_k0009,4,4,-0.00230263157894738,-0.00230263157894738,0.01,1,0.382814253010525,70.5648768704889,-117.642953187223,73.0315431787754,-121.656365585497,-68.6697149231722,120.313762654611,-71.2680163467988,123.423571487288,1,640,0.534188276514822,1.17363481923464,0.563581621597303,-0.422453451363065,-6.13341189318269e-19,2.55416167799634e-18,0,-1.70870368262834e-18,0.000315307367534515,0.00093591802429829,1,1.27071744405709e-20,4.07458241538841e-20,1,0.00519928019819397,0.000838001429410395,0.000838001429410395,-0.00973762720273093,-0.00541928592851948,0.00975559370658175,0.00975559370658175,0.0123654189958392,1,0,-2.71050543121376e-20,1,0.00519894414192633,0.000838066898272068,0.000838066898272068,-0.00973737978605323,-0.0054188707376707,0.00975635586234008,0.00975635586234008,0.0123651394716519,11.8632427056961,10.5848737171386,-13.1514235638748,-6.74259124909668,-13.1514235638748,-6.74259124909668,39.1377246421476,20.4713666397889,2.60208521396521e-18,-2.99907405648273e-19,-1.24338282129854e-19,0.000249854527898287,1.25954829450075e-12,1.80630203100749e-08,2.71090246863315e-12,1.74474729605164e-19,1.04083408558608e-17,4.90281530262498e-14
