Case,LoadCase,NX,NY,zeta1,zeta2,strain0,StepTime,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,ALLSE_std,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
1,NC_k0000,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.500960130795777,69.1882856348158,-7.67657472251272,76.6556668039369,-7.6206583819382,-80.2275280235363,16.6702019433533,-83.3502683921619,15.3339156241997,1,160,4.12592052727143,-0.959834295025963,1.04480845664102,-0.792782935786589,-6.12598932581938e-19,4.16272577276152e-19,0,-1.22713898233467e-19,-0.00164406711071016,0.000962009797034253,1,1.30090548867685e-19,-5.17984340785486e-20,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,4.33680868994202e-19,-1.0842021724855e-19,1,-0.00523969844722559,0.0100335713962846,0.0100335713962846,-0.0151660580439357,0.00104271084048103,-0.00481859979514995,-0.00481859979514996,0.00423526084227418,9.24968681450394,53.5645098988862,3.66903550193498,-18.3070767392667,3.66903550193498,-18.3070767392667,-18.1800147554694,4.6575292690576,2.60208521396521e-18,2.03494255238571e-19,-1.76593279933133e-19,0.0101113847695148,2.59284225809325e-13,3.08430937929722e-07,4.41387267482833e-13,2.78644032917621e-19,8.67361737988404e-18,3.45059780149298e-14
2,NC_k0001,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.399706431073544,218.171056111898,35.9941619448911,220.553575032859,34.8953174032194,-205.466152738157,-44.2120550023119,-208.676069354151,-41.1819643870816,1,160,0.962399929856336,1.58732291118446,0.841408537543476,-1.13352355336148,-4.83248288567088e-19,5.52741386188893e-20,0,-4.0165602012547e-19,0.00164287647970517,-0.00124078652553436,1,-3.40574405950673e-20,1.22112347889802e-20,1,0.0167936705423597,-0.000560010168439073,-0.000560010168439073,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814357,1,0,-2.16840434497101e-19,1,0.0167901805880598,-0.000560710181149622,-0.000560710181149622,-0.00183918497807692,-0.00691698212846655,0.00122151185271315,0.00122151185271315,-0.00806117724982867,40.4926136816709,-7.33462683980786,1.08488630012218,-24.1111181282922,1.08488630012218,-24.1111181282922,24.3815664910442,-9.74328764648467,8.67361737988404e-19,-1.41194861648735e-19,1.11278341504237e-19,0.0120820768564876,5.32861588554829e-13,1.24270714427019e-07,3.86074479715405e-13,8.87982384019775e-20,6.93889390390723e-18,1.48468720709669e-14
3,NC_k0002,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,1.06052736358619,-155.188243446163,83.145141449233,-153.095224211313,84.3573949894095,155.581284913985,-87.8534823845985,158.710555633357,-81.5569400220964,1,160,1.74741159370687,4.13813923301189,1.94223177281721,1.70952904205884,-4.37843241836569e-20,-6.03193337563469e-19,0,-2.84517043493739e-19,0.000115636558916877,-0.000430341963807294,1,9.53975713297698e-20,1.36631319922068e-19,1,-0.0072609762275046,0.00798862637180395,0.00798862637180395,0.00271554906894998,-0.00216661494335417,0.0151594699561672,0.0151594699561672,-0.00644841969049437,1,-9.48676900924816e-20,-4.33680868994202e-19,1,-0.00725856878634298,0.0079986121547687,0.0079986121547687,0.00271172118180132,-0.00216929910649919,0.0151784192936124,0.0151784192936124,-0.00644842772567242,-25.9178452978706,37.40173677087,10.6850700261979,24.2635919861159,10.6850700261979,24.2635919861159,68.5997091383015,-15.2318276301382,1.73472347597681e-18,-4.06357137899922e-20,1.32852782815952e-19,0.0180655173344189,2.31059197978466e-13,1.82636743921709e-07,2.58323332327022e-13,2.71971208782075e-19,4.33680868994202e-18,1.10164790077249e-14
4,NC_k0003,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.448621799188448,-169.513575993505,12.1584620121661,-168.528331176529,14.7792189221103,160.929170599028,0.103058756071656,163.267771668439,-4.2753784364568,1,160,1.0812984504586,-2.21662461593979,-0.374657634608798,1.55345573175291,3.5300759821313e-19,1.49307203473305e-19,0,2.00859305062576e-19,-0.000616307507489253,0.00181105114393041,1,7.09204630957573e-20,-3.23987656062418e-20,1,-0.0089034159467886,0.00659383141145556,0.00659383141145556,0.00818599167466987,0.011081958503288,-0.00383992549913756,-0.00383992549913756,0.00852556625629547,1,0,2.16840434497101e-19,1,-0.00889818760444942,0.00660207370071988,0.00660207370071988,0.00818053913724564,0.0110842233064545,-0.00384472540601148,-0.00384472540601148,0.00852942880461634,-30.1995378377723,34.713289143172,8.56218541772302,20.6516417634291,8.56218541772302,20.6516417634291,-34.0577073890212,3.23674354684271,8.67361737988404e-19,-2.94908032072784e-19,-4.73333392357433e-20,0.0119190273269435,2.04959722302789e-13,2.01543581430302e-07,2.82131827949644e-13,1.77386945188709e-19,5.20417042793042e-18,1.37091507002804e-14
5,NC_k0004,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.265070641078253,49.1793820602973,-28.3875627276418,46.4662493333085,-30.4088658721817,-51.026793433078,17.0279660821079,-52.0505167532125,18.241289344136,1,160,-1.95008583009257,0.375863804055614,-0.519493268592199,-1.26473989286472,-1.27412284112768e-19,1.41629864481329e-20,0,1.46276413708911e-19,-0.00087414403889386,-0.00191232123703953,1,-4.84527188864097e-20,-6.50280360943013e-21,1,-0.00312662682058422,-0.00671160527592423,-0.00671160527592423,-0.0103971201687872,-0.012762173308884,0.000548361139259962,0.000548361139259962,-0.00859678335400792,1,0,-4.33680868994202e-19,1,-0.00313101193522262,-0.00671999478251913,-0.00671999478251913,-0.010396961225083,-0.0127642089615016,0.000549046590684037,0.000549046590684037,-0.00860142237534739,6.74861756126442,-33.269646900995,-11.298715910839,-10.0551410421677,-11.298715910839,-10.0551410421677,7.13014955392419,-0.579246020336315,1.73472347597681e-18,1.51870926426352e-19,-1.24819557009969e-19,0.00837896167106099,3.99079784174767e-13,3.70872744617963e-07,5.05476473817505e-13,1.46363104325727e-19,6.93889390390723e-18,2.50001583068517e-14
6,NC_k0005,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,1.07798322439443,87.3146448585839,151.201143757292,96.0994107827332,154.862849658574,-88.8773829323596,-147.13719775591,-91.3851789664224,-150.924833688768,1,160,5.20601409858218,-1.92435345837495,1.08294801126838,0.622159005166956,-1.34677080560576e-18,4.80541202149072e-19,0,-3.55762661106673e-19,0.000364323632413582,0.000241717517741329,1,1.83025110187347e-19,-6.37273311835619e-20,1,0.00652234756030477,0.0163762563016298,0.0163762563016298,0.000290094583144858,0.00265900651085749,-0.00602366899317761,-0.00602366899317761,-0.00677038796632783,1,2.71050543121376e-19,-3.3881317890172e-20,1,0.00652146442533431,0.0163967266220068,0.0163967266220068,0.00029310660628513,0.00265541742173095,-0.00603119857941908,-0.00603119857941908,-0.00676808368390612,16.0123511514617,73.3847207307769,24.7839172793995,-13.0226834369746,24.7839172793995,-13.0226834369746,-22.6235045616061,-24.6735758078615,1.73472347597681e-18,-5.8784618289014e-19,1.11461134307942e-19,0.0437205008853746,1.51191439537468e-13,2.56020829731379e-07,1.61075770284075e-13,4.14383771126353e-19,6.07153216591882e-18,9.49400277233071e-15
7,NC_k0006,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.486580614064581,-134.425117517998,-155.12010775618,-130.399598252743,-156.486554264228,131.244940626163,159.167057544907,131.407417386574,161.057675256509,1,160,2.47580163546072,0.922734913157703,1.12151706104408,-0.143074947251913,1.22475670217051e-19,2.89490053336408e-19,0,3.09343490945164e-19,0.000133803095864231,-7.74336152330461e-05,1,7.61649227694584e-20,4.07123740534054e-20,1,-0.00398200939445784,0.00754742661982021,0.00754742661982021,0.00927323019774596,-0.0149178558947045,0.000283080721679624,0.000283080721679624,0.00430866511930741,1,2.16840434497101e-19,2.16840434497101e-19,1,-0.00397704037883476,0.00755686090309498,0.00755686090309498,0.00926991468862391,-0.0149135052929462,0.000283434572581725,0.000283434572581724,0.00430099914543187,-22.740336142544,54.2929356687088,-22.6205292954753,19.9080090019612,-22.6205292954753,19.9080090019612,-10.0874891644464,27.5543271259163,1.30104260698261e-18,-1.63972023657472e-19,-8.02122246367892e-20,0.00534167572833128,3.42346206386912e-13,2.37753103859537e-07,1.64207750511731e-13,1.49958628510491e-19,6.93889390390723e-18,3.57160289453269e-15
8,NC_k0007,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.346337989521872,-98.9484530006267,144.134257752667,-105.238187422035,147.664024327929,103.550877367593,-152.202136724475,106.99923112173,-156.94005427321,1,160,-3.21476793103836,-2.26661488146783,-1.80885632812706,1.80082248007229,5.23933994176121e-19,-1.2118581991521e-19,0,-1.61306836892741e-19,0.00102068679893307,-0.000971128612837763,1,-7.69399287771899e-20,-1.8861624458556e-20,1,0.00182057138377452,-0.00383757236604354,-0.00383757236604354,0.0157517137559357,0.00454043346890259,-0.00171840194232206,-0.00171840194232206,-0.0105011252064776,1,0,0,1,0.0018276705353189,-0.00384236933150109,-0.00384236933150109,0.0157501059434975,0.00453480162373254,-0.00172054994474996,-0.00172054994474996,-0.0104973560774755,-15.4675415105981,-32.483723587214,17.0197360197688,18.4848433955877,17.0197360197688,18.4848433955877,-17.4169646259314,-28.0809549317871,1.0842021724855e-18,-7.59609179146268e-20,8.41450710222411e-20,0.0208299033894583,2.55047832363107e-13,1.95020672763602e-07,2.51653466610446e-13,2.2837337562821e-19,6.93889390390723e-18,1.17701361805896e-14
9,NC_k0008,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.594212549179149,43.5079814556563,213.740713241364,40.6684874671978,215.954343514783,-40.1066223935346,-221.518778949635,-38.4148812418818,-219.807173019852,1,160,-1.47140342204959,1.46497045095647,-0.00212288046073194,1.17676073214786,-4.45993728138924e-20,-4.20666560690034e-19,0,-5.10160885523371e-19,-7.36564895888293e-05,-0.000333760680032837,1,-2.22113541716134e-20,4.32402780573269e-20,1,-0.000324640517658472,-0.00270771985033662,-0.00270771985033662,-0.00777483302139315,0.0130076576265531,0.00866451467893541,0.00866451467893541,-0.00937239892902188,1,2.16840434497101e-19,0,1,-0.000328234245556364,-0.00271110450014954,-0.00271110450014954,-0.0077737703789762,0.013001231868051,0.00867534532228408,0.00867534532228408,-0.00936483715217677,7.54707136787957,-32.3595692514296,29.785414140908,-5.72177502783197,29.785414140908,-5.72177502783197,50.7289255817246,-38.6257093546053,1.30104260698261e-18,1.22942151905199e-19,3.37797003218337e-19,0.0114285440584198,2.25942673741705e-13,1.41347018170297e-07,1.10000623960714e-13,9.1087637818961e-20,6.93889390390723e-18,8.79124710628399e-15
10,NC_k0009,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.619082120075541,114.27963946891,-180.388526592593,119.660498623862,-185.37279198071,-108.61754697214,186.111958953628,-111.364111506945,196.205035256405,1,160,2.71292131035332,5.40590317170284,2.67921207907852,-1.74872147664778,-4.27367826559197e-19,-2.69074132911116e-19,0,-9.18545468478218e-20,0.000410753749056108,0.00095239891278067,1,6.92094187680421e-21,2.22105358996761e-20,1,0.00519928019819397,0.000838001429410396,0.000838001429410396,-0.00973762720273094,-0.00541928592851949,0.00975559370658176,0.00975559370658176,0.0123654189958392,1,-2.16840434497101e-19,1.62630325872826e-19,1,0.00519390329791172,0.000839048931197159,0.000839048931197158,-0.0097336685358876,-0.00541264287493885,0.00976778819871499,0.00976778819871499,0.0123609466088421,20.7396492325893,19.8435082748892,-23.0132659668803,-13.2984706671777,-23.0132659668803,-13.2984706671777,60.1892252689868,34.0733287997519,1.30104260698261e-18,3.53418360761939e-19,-1.35114028762659e-19,0.0418701615975773,4.12888238549499e-14,2.49197488831341e-07,1.24033822567516e-13,8.82472025527681e-20,6.93889390390723e-18,1.21954726801604e-14
11,NC_k0010,1,1,-0.00921052631578951,-0.00921052631578951,0.01,1,0.663252688044334,-107.86311990676,107.112754254976,-112.273334374175,110.619810713941,95.1482348125684,-111.941252843665,96.5915155974912,-122.394955327586,1,160,-2.38418280293041,-5.91852702547477,-2.73989424337371,0.763414261578021,3.02085256796882e-19,1.44066187112169e-19,0,2.60705270927046e-19,-0.00164938581243768,-0.00115186670324495,1,-7.9605131467899e-21,-1.15392377774158e-19,1,-0.0111572556086814,-0.00114164067691532,-0.00114164067691532,0.000921888631614494,-0.000838431457235701,-0.0125858989726805,-0.0125858989726805,-0.0106889945710182,1,0,1.0842021724855e-19,1,-0.0111550801521965,-0.00114306772776146,-0.00114306772776146,0.000916514622949234,-0.000843310918525674,-0.0126016313463964,-0.0126016313463964,-0.010687717430362,-21.8820313611918,-15.1910808577109,11.7955446086163,6.89977958947568,11.7955446086163,6.89977958947568,-74.4080349877818,-21.7384541396263,1.73472347597681e-18,-8.45630744148887e-20,-1.00897462138526e-19,0.0358758950080504,1.84423777463206e-13,3.51184422769711e-07,3.39458917252804e-13,2.28578141486403e-19,5.20417042793042e-18,2.4538212616806e-14
