Case,LoadCase,strain0,StepTime,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,ALLSE_std,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
1,NC_k0000,0.01,1,0.318959504318631,35.4156833003768,-1.6947954921018,35.4157075755061,-1.69481651804651,-37.0518855827675,3.18830970551961,-37.0518643876826,3.18829344938713,1,400,-1.33709883443078e-13,-3.97071698438056e-14,-5.86257245957547e-14,2.92918900940409e-15,-2.94293656589626e-18,2.02559988401985e-19,0,1.75719631885865e-19,-0.00152708936276012,0.000837746542760305,1,5.04025784279829e-20,-7.47626203424673e-20,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264214,1,0,0,1,-0.00523441372942353,0.0100230492989402,0.0100230492989402,-0.0151659879240456,0.00104117975462858,-0.00481354658188163,-0.00481354658188163,0.00423540689338327,4.52877766632334,35.1244902809849,3.02749845448427,-9.84501699202287,3.02749845448427,-9.84501699202287,-14.9039113661861,1.82514530469335,1.73472347597681e-18,-9.42299026629129e-19,2.02093981672372e-19,0,12.618116595419,6.37872087573737e-15,2.15690492267819e-13,7.47626203424673e-20,1.04083408558608e-17,7.48364438314265e-15
2,NC_k0001,0.01,1,0.189447543886725,100.320052433756,17.4233448205713,100.320022743243,17.4233705669357,-97.8145223933394,-18.8631241672327,-97.814550309577,-18.863103048303,1,400,2.65488043875439e-14,-6.55356845180588e-15,7.18806220555597e-15,-2.82486707636753e-14,7.28926445032754e-19,-3.92930643297389e-19,0,-1.34528684358684e-18,0.00165943222567347,-0.00121968611257614,1,3.75277854181377e-20,9.87165838666119e-21,1,0.0167936705423597,-0.000560010168439073,-0.000560010168439073,-0.00184734565890284,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,0,1,0.0167931121496717,-0.000560122170472761,-0.000560122170472761,-0.0018460399499707,-0.00691471632013853,0.00122023086650056,0.00122023086650056,-0.00805951251961318,18.9966595432536,-3.52814831137258,-0.269310858608666,-10.8558379241954,-0.269310858608666,-10.8558379241954,11.0996828371734,-4.40872366872593,1.30104260698261e-18,-1.1403401159472e-18,-1.87621320778596e-19,0,42.88829697407,2.58084578795635e-14,1.51305444423444e-12,3.75277854181377e-20,7.80625564189563e-18,1.43577813389759e-14
3,NC_k0002,0.01,1,0.669091000386098,-77.1446853758958,41.6910852513878,-77.1446903633523,41.6910895686829,77.4370125269545,-42.0315695126743,77.4370083455477,-42.0315662802349,1,400,-1.05155033985893e-13,-1.94401352654472e-13,-1.02089059070062e-13,-5.16561619867684e-14,-9.16327935119399e-19,-3.85568074101177e-18,0,-2.59697654650208e-18,-6.85215247317383e-05,-0.000499919316804403,1,7.0055910311155e-20,3.75288633098225e-19,1,-0.0072609762275046,0.00798862637180394,0.00798862637180394,0.00271554906894998,-0.00216661494335417,0.0151594699561672,0.0151594699561672,-0.00644841969049436,1,-1.35525271560688e-20,0,1,-0.00726059103691874,0.00799022409707831,0.0079902240970783,0.0027149366070062,-0.00216704440945738,0.0151625018501584,0.0151625018501584,-0.00644842097612286,-12.6912097616111,24.8018690933189,6.24012534446788,13.6410178593096,6.24012534446788,13.6410178593096,47.518963319439,-7.34640943717849,8.67361737988404e-19,-5.40839602237646e-20,-2.57159103324928e-19,0,6.74137273317435,1.1153061416682e-14,7.60515640595583e-13,3.75288633098225e-19,3.46944695195361e-18,3.81639112641533e-15
4,NC_k0003,0.01,1,0.248836085280454,-74.8682563254997,6.51290401983346,-74.8682280877858,6.51287959298195,73.4931447998154,-4.37037524076713,73.493167367543,-4.37039285566944,1,400,-9.59460375732357e-14,-2.28372008803657e-14,-3.67748252228623e-14,1.85747684594562e-14,-2.07384105734395e-18,3.54853865340348e-19,0,9.27779009929277e-19,-0.000598749401158511,0.00170354575423792,1,6.75984542736482e-20,-4.6840376892937e-20,1,-0.0089034159467886,0.00659383141145556,0.00659383141145556,0.00818599167466987,0.011081958503288,-0.00383992549913756,-0.00383992549913756,0.00852556625629546,1,0,2.16840434497101e-19,1,-0.00890257941201434,0.00659515017773785,0.00659515017773785,0.00818511926868199,0.0110823208717946,-0.00384069348423739,-0.00384069348423739,0.0085261842640268,-13.7496859531413,23.0815581940279,5.84382876836465,9.28178679488792,5.84382876836465,9.28178679488792,-18.2023286549423,1.11757488710018,8.67361737988404e-19,3.33084631149765e-20,-2.59142113188033e-19,0,9.84382323893209,2.02658570398464e-14,4.18879071133746e-13,6.75984542736482e-20,1.73472347597681e-18,1.89620723591553e-15
5,NC_k0004,0.01,1,0.168725539581474,20.3846403099358,-12.6953791457783,20.3846257078511,-12.6953665997879,-21.1158023265889,10.4809547471579,-21.1158082974132,10.4809603204034,1,400,8.22822712742699e-14,4.11365819880105e-14,4.07257342076045e-14,1.84422789539784e-15,1.66940267736472e-18,2.34264166919918e-19,0,1.23905038315543e-19,-0.000866133323734053,-0.0018062908704281,1,-1.10293311991719e-19,-8.92887858930325e-21,1,-0.00312662682058422,-0.00671160527592423,-0.00671160527592423,-0.0103971201687872,-0.012762173308884,0.000548361139259962,0.000548361139259962,-0.00859678335400792,1,0,0,1,-0.00312732843892636,-0.00671294759697941,-0.00671294759697941,-0.0103970947377945,-0.0127624990133028,0.000548470811487814,0.000548470811487814,-0.00859752559742223,2.78859664301494,-23.1365142911727,-7.04061431047747,-5.16430931018701,-7.04061431047747,-5.16430931018701,2.89925671229543,-0.154428340691857,8.67361737988404e-19,-3.51849401500516e-19,6.18796376245791e-19,0,18.7078980656723,2.26627719355545e-14,1.04242954405884e-12,1.10293311991719e-19,3.46944695195361e-18,1.62856316403742e-14
6,NC_k0005,0.01,1,0.697539296984548,46.1779954752934,76.669144817969,46.1779964707292,76.6691439869158,-45.7193656182755,-76.2045645251275,-45.7193668266073,-76.2045639029305,1,400,-1.76129943962877e-13,-5.72870743897891e-14,-7.44038781074981e-14,-1.64702236224445e-14,-3.71193660288476e-18,2.34032556348403e-19,0,-7.54818852566889e-19,0.00047366466785769,2.08290474180111e-05,1,2.86087831479704e-19,-1.57650252518965e-19,1,0.00652234756030476,0.0163762563016298,0.0163762563016298,0.000290094583144856,0.00265900651085749,-0.00602366899317761,-0.00602366899317761,-0.00677038796632783,1,0,-2.03287907341032e-20,1,0.00652220625870949,0.0163795315528901,0.0163795315528901,0.000290576506847297,0.00265843225659724,-0.00602487372697624,-0.00602487372697624,-0.00677001928114035,8.14418517449447,51.8147566608549,13.8941678807274,-6.65401423748751,13.8941678807274,-6.65401423748751,-17.7546716157618,-12.3846617026108,1.73472347597681e-18,-6.34180526530419e-19,-9.16527464720829e-21,0,9.18177520387661,1.23814449577616e-14,4.55503721887114e-13,2.86087831479704e-19,3.46944695195361e-18,6.20734891174744e-15
7,NC_k0006,0.01,1,0.238126397014714,-57.9677764680075,-66.9752607955543,-57.9677674831985,-66.9752685581596,57.6930018278364,67.7818539226108,57.6930083653548,67.7818487168335,1,400,-9.54466540525889e-14,-7.73538134588025e-14,-5.90765865839866e-14,1.72206812611847e-14,-1.71793501826443e-18,-1.04351646687647e-18,0,8.99699536855552e-19,0.000106868548466991,-0.000108512529926353,1,1.46407249907988e-19,-1.0034624097278e-19,1,-0.00398200939445784,0.00754742661982021,0.00754742661982021,0.00927323019774596,-0.0149178558947045,0.000283080721679625,0.000283080721679625,0.00430866511930741,1,0,0,1,-0.00398121435195814,0.00754893610514417,0.00754893610514417,0.00927269971628643,-0.0149171597984231,0.00028313733782396,0.00028313733782396,0.00430743856348732,-9.96349964763693,30.3413409463744,-9.44883556556494,9.07073367672326,-9.44883556556494,9.07073367672326,-2.6477337312429,12.0695844022545,1.40946282423116e-18,2.44852092855943e-19,4.33279966699216e-19,0,8.16962622395893,1.61893935881942e-14,8.27988266000734e-13,1.46407249907988e-19,2.60208521396521e-18,2.79739593394987e-15
8,NC_k0007,0.01,1,0.171994617281625,-45.9535816529034,68.5279307514835,-45.9536009563983,68.527947430061,46.5596667494811,-70.2487852418178,46.559652641676,-70.2487740188243,1,400,6.86694624774109e-14,6.41255711725242e-14,4.35175465974951e-14,3.79102131631281e-15,1.10050093927525e-18,9.33665227168204e-19,0,1.46073478731964e-19,0.000983119730776016,-0.000960319234754455,1,-5.58016291812881e-20,-2.39526001090402e-20,1,0.00182057138377452,-0.00383757236604354,-0.00383757236604354,0.0157517137559357,0.0045404334689026,-0.00171840194232206,-0.00171840194232206,-0.0105011252064776,1,0,-2.71050543121376e-20,1,0.00182170724802162,-0.00383833988051675,-0.00383833988051675,0.0157514565059456,0.00453953237367539,-0.00171874562271052,-0.00171874562271052,-0.0105005221458373,-7.18676854506582,-18.0210947252679,7.68197177283285,9.15599153215583,7.68197177283285,9.15599153215583,-8.52139026870782,-13.2733002396465,4.33680868994202e-19,4.55670038201221e-19,-4.89986611706229e-19,0,11.0283849413607,1.24461274198242e-14,1.07820743294323e-12,5.58016291812881e-20,3.46944695195361e-18,4.03436689681133e-15
9,NC_k0008,0.01,1,0.304472145363434,12.7077064380879,96.3746766528993,12.7076928463671,96.3746883972435,-12.2666704223777,-97.5753805248276,-12.2666804122361,-97.5753725876165,1,400,4.06061902852306e-14,-3.17235387264914e-14,2.85148374685076e-15,-4.43546024561647e-14,1.24136648887058e-18,-1.10807791368624e-18,0,-2.2961077966594e-18,-0.00015513684406215,-0.000345191323717577,1,-7.47416469525953e-20,2.23903494460282e-19,1,-0.000324640517658471,-0.00270771985033662,-0.00270771985033662,-0.00777483302139314,0.0130076576265531,0.00866451467893541,0.00866451467893541,-0.00937239892902187,1,0,0,1,-0.000325215514122134,-0.00270826139430668,-0.00270826139430668,-0.00777466299860644,0.0130066295051927,0.0086662475818712,0.0086662475818712,-0.00937118904472666,2.51315294107233,-15.6387671665048,13.5076813398728,-1.08018746857979,13.5076813398728,-1.08018746857979,30.7096034217298,-17.4089578331783,1.30104260698261e-18,1.2521026805802e-21,-1.41224220079233e-18,0,6.58961767200604,7.75480767361777e-15,9.49384092144375e-13,2.23903494460282e-19,8.67361737988404e-18,4.1933441129563e-15
10,NC_k0009,0.01,1,0.335203083007624,49.6316850450128,-87.5119303122413,49.6316915095914,-87.5119358098135,-48.350241606616,89.2270754053231,-48.3502427478945,89.2270752858545,1,400,-2.58142032055764e-14,-1.10125450425436e-13,-4.51564848091859e-14,-2.49837043414525e-14,3.65763033451427e-19,-2.47653904931436e-18,0,-1.17325974595541e-18,0.000340956034746414,0.00099903433180755,1,4.27970984310149e-20,1.81558160325669e-19,1,0.00519928019819397,0.000838001429410395,0.000838001429410395,-0.00973762720273093,-0.00541928592851948,0.00975559370658175,0.00975559370658175,0.0123654189958392,1,2.16840434497101e-19,-2.71050543121376e-20,1,0.00519841989414881,0.000838169029696278,0.000838169029696278,-0.009736993816036,-0.00541822303994658,0.00975754482532307,0.00975754482532307,0.0123647034139197,9.43447554758869,8.8614679048272,-10.8798419025451,-5.27082511416263,-10.8798419025451,-5.27082511416263,36.9772317489063,16.4526539149413,1.51788304147971e-18,-5.92761238230908e-19,4.82076793617241e-19,0,8.74160208244727,2.75317888766689e-14,7.79541899320703e-13,1.81558160325669e-19,5.20417042793042e-18,5.29934517147579e-15
