N,ellc,beta,betaMinus2,alphaL,muScale,alphaH_minnorm,alphaC_minnorm,diag_energy_ansatz,diag_stress_consistency,RMSE_E,RMSE_Q,R2_E,R2_Q,nCases
1,1,2.18599081171283,0.185990811712826,1359.22149262947,1359.22149262947,0.237198162342565,-0.47439632468513,-0.902367370604726,1.99937289005757e-13,0.0634342429078126,6.78364470206209,0.921875068344087,0.690504800161326,64
2,0.5,2.03567762552171,0.0356776255217057,1910.05618076261,477.514045190654,0.207135525104341,-0.414271050208682,-0.902367370604726,1.99937288970153e-13,0.0323652798704006,2.94353804708844,0.96259333169865,0.593906207292928,64
3,0.333333333333333,2.02276732423707,0.0227673242370696,2418.34184568814,268.704649520905,0.204553464847414,-0.409106929694828,-0.902367370604725,1.99937288838231e-13,0.0201436469006729,1.7829544681702,0.984222127218884,0.557952550491506,64
4,0.25,2.0180963376511,0.018096337651103,2877.00839888811,179.813024930507,0.203619267530221,-0.407238535060441,-0.902367370604725,1.99937288900725e-13,0.0143769882538621,1.25501109516038,0.991765011065624,0.532882708488877,64
5,0.2,2.01520077123503,0.0152007712350337,3309.65634118178,132.386253647271,0.203040154247007,-0.406080308494013,-0.902367370604726,1.99937288830337e-13,0.0111512621571477,0.963890277131622,0.994993376938738,0.511792290337448,64
6,0.166666666666667,2.01310522186278,0.013105221862781,3731.1941406297,103.644281684158,0.202621044372556,-0.405242088745112,-0.902367370604725,1.99937289004474e-13,0.00911169745027606,0.781800316781439,0.996637790753671,0.494104232344055,64
7,0.142857142857143,2.01149840523415,0.0114984052341511,4148.26288324727,84.6584261887198,0.20229968104683,-0.40459936209366,-0.902367370604726,1.99937289021536e-13,0.00770855803665449,0.657684160485208,0.997584591137951,0.479382915188056,64
8,0.125,2.01022628603668,0.0102262860366804,4563.77942370092,71.3090534953268,0.202045257207336,-0.404090514414672,-0.902367370604726,1.99937288896251e-13,0.00668392798173827,0.5677649442678,0.998179294747399,0.467126690873433,64
