Case,LoadCase,NX,NY,zeta1,zeta2,strain0,StepTime,ALLSE,RF_LEFT_x,RF_LEFT_y,RF_RIGHT_x,RF_RIGHT_y,RF_BOTTOM_x,RF_BOTTOM_y,RF_TOP_x,RF_TOP_y,Volume,nBndNodes,Savg_11,Savg_22,Savg_33,Savg_12,Eavg_11,Eavg_22,Eavg_33,Eavg_12,Uavg_1,Uavg_2,Fbar_11,Fbar_12,Fbar_21,Fbar_22,G111,G112,G121,G122,G211,G212,G221,G222,Fbar_11_int,Fbar_12_int,Fbar_21_int,Fbar_22_int,G111_int,G112_int,G121_int,G122_int,G211_int,G212_int,G221_int,G222_int,Q111,Q112,Q121,Q122,Q211,Q212,Q221,Q222,fitResidMax,c1_fit,c2_fit,ALLSE_std,HillResid,QSymResid,ForceBalanceResid,KubcErrF,KubcErrG,EnergyConsistencyResid
1,NC_k0000,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.327756284885328,46.0169744653544,-1.69495690648448,46.494443465987,-1.89397434216691,-46.9851533332491,2.44899999845534,-47.851563948069,3.33374795144338,1,1280,0.437374612624964,-0.0878835598327982,0.115332047421432,-0.0548185831432461,-1.26394300505586e-18,-7.11132756080973e-19,0,-4.06922954812466e-19,-0.0015374008738838,0.000838645956397475,1,-3.51393526233737e-20,1.10948302562488e-19,1,-0.00523340711650885,0.0100210450899222,0.0100210450899222,-0.0151659745678761,0.00104088811922811,-0.00481258406506862,-0.00481258406506862,0.00423543471264215,1,0,0,1,-0.0052335054185513,0.0100212408134591,0.0100212408134591,-0.0151659758721895,0.00104091659924769,-0.00481267806085114,-0.00481267806085114,0.00423543199591765,4.92520649844397,35.5361387302926,3.11440822710863,-10.5532087349555,3.11440822710863,-10.5532087349555,-14.7832463318586,2.06449665224201,2.60208521396521e-18,8.01028631453289e-20,-2.95921783105182e-19,0.000943748594429478,6.93176041095059e-12,6.24095832798028e-09,2.36021273316037e-11,2.06971009470351e-19,1.38777878078145e-17,2.80334120295293e-13
2,NC_k0001,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.208404790637231,117.764294755128,19.1947521021281,118.699327709501,18.8582260602959,-115.70233741559,-20.2410357887372,-117.427106817625,-19.7587755880804,1,1280,0.0767341391480452,0.11509491160005,0.0633035867468691,-0.104921341046501,-1.22229390976007e-18,2.71891510077472e-19,0,-1.06887947881857e-18,0.00162736501159366,-0.00121277467256021,1,1.68937885409525e-20,1.83032626040578e-20,1,0.0167936705423597,-0.000560010168439073,-0.000560010168439073,-0.00184734565890285,-0.00691428473759986,0.00121998686912674,0.00121998686912674,-0.00805919542814356,1,0,2.16840434497101e-19,1,0.0167936160118238,-0.000560021106137675,-0.000560021106137675,-0.00184721814826494,-0.00691432688433215,0.00122001069699528,0.00122001069699528,-0.00805922639410739,20.9534967752005,-3.673445296427,-0.220103762941363,-11.9236926938748,-0.220103762941363,-11.9236926938748,11.8879449295081,-4.86867492957915,1.73472347597681e-18,-3.77072551708435e-19,-8.14755362774114e-20,0.000267595162329363,4.70048687829907e-11,2.83336148055323e-09,1.33786917050118e-11,1.47077425251607e-19,6.93889390390723e-18,2.3057849396729e-13
3,NC_k0002,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.686342958142955,-92.7944558522678,49.2497856569603,-92.5941422190472,49.9717166172036,92.3891022673523,-49.8397599075276,93.6946561714457,-49.6944803201167,1,1280,0.355671368772949,0.612835011889162,0.31960710561853,0.146047395661144,-8.08714468845564e-19,-4.70589116472576e-18,0,-4.49236276140132e-20,-4.11336891379379e-05,-0.000484703969427986,1,-5.60719903719031e-20,-4.1280706700427e-19,1,-0.0072609762275046,0.00798862637180395,0.00798862637180395,0.00271554906894998,-0.00216661494335418,0.0151594699561672,0.0151594699561672,-0.00644841969049437,1,-4.06575814682064e-20,0,1,-0.00726093861123645,0.00798878239966277,0.00798878239966277,0.00271548925821329,-0.00216665688340331,0.0151597660395648,0.0151597660395648,-0.00644841981604402,-13.9657700395312,24.7878991643709,6.70580644470188,14.6371381870233,6.70580644470188,14.6371381870233,47.5080726949815,-8.12321821893247,4.33680868994202e-18,2.27842291628072e-19,5.18902783814055e-19,0.000867261445740568,4.24231707508914e-12,4.08280994244618e-09,1.4930056344194e-11,9.03654686166755e-19,1.21430643318376e-17,1.18425580805985e-13
4,NC_k0003,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.262581116837449,-90.0650412705132,10.0198255559538,-90.8744997565771,10.6000006724695,88.9785112224172,-8.52646456496849,90.0774277285252,-9.08738584321649,1,1280,0.16436284442292,-0.183345810496323,-0.00626437880421625,0.10698306457736,-4.45906271022076e-19,-2.38255613228458e-18,0,1.53192195083596e-19,-0.000576672924710874,0.00170453469958824,1,-6.00034760367584e-20,4.64616640652648e-20,1,-0.00890341594678861,0.00659383141145557,0.00659383141145557,0.00818599167466987,0.011081958503288,-0.00383992549913756,-0.00383992549913756,0.00852556625629547,1,0,2.16840434497101e-19,1,-0.00890333425393956,0.00659396019722532,0.00659396019722532,0.00818590647877261,0.0110819938908375,-0.00384000049768246,-0.00384000049768247,0.00852562660861298,-15.1721649392675,23.2523149977483,6.16591753449467,10.1678563294171,6.16591753449467,10.1678563294171,-18.9390222105868,1.27313766373869,1.95156391047391e-18,1.03985244686648e-20,-1.98770092710652e-19,0.000650943098516866,5.92228206834717e-11,5.56558907997637e-09,1.61218038048845e-11,2.38122317639833e-19,6.07153216591882e-18,2.45302177788527e-13
5,NC_k0004,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.17480757602004,27.2768797033645,-18.1619793772781,27.575003782882,-18.2934888761265,-27.8902959256375,16.5741597466947,-27.930835719934,16.7853040880804,1,1280,-0.247171245585557,0.00299230324935445,-0.0805790509709417,-0.0488271597520801,4.05703414862692e-19,1.04457746387551e-20,0,-6.63637079283943e-19,-0.000870630674774739,-0.0018087522536836,1,2.20654160176857e-20,3.69838744410565e-20,1,-0.00312662682058422,-0.00671160527592423,-0.00671160527592423,-0.0103971201687872,-0.012762173308884,0.000548361139259963,0.000548361139259963,-0.00859678335400792,1,2.16840434497101e-19,0,1,-0.00312669533800044,-0.00671173636196477,-0.00671173636196477,-0.0103971176852918,-0.0127622051159561,0.000548371849438463,0.000548371849438464,-0.00859685583871635,3.0677818784646,-23.2435286150766,-7.44408657323604,-5.54907744897138,-7.44408657323604,-5.54907744897138,3.13497824683857,-0.217575739539185,1.95262270165798e-18,1.37929026841288e-19,5.23984621917336e-19,0.000121623569974993,2.37475612246178e-11,3.44314326773826e-09,2.22310411762691e-11,1.32101378444427e-19,6.93889390390723e-18,3.01058619080531e-13
6,NC_k0005,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.715273901263787,53.5930275716676,90.9017848327932,53.9287405105049,92.0850309676135,-53.0607910891534,-91.0495471290733,-53.9950400611454,-90.9808680849421,1,1280,0.638508284655515,-0.163730031307745,0.156676823604734,0.0378504521317364,-2.13319953810075e-18,1.27097404026256e-18,0,4.14237712969272e-19,0.000457126488633248,4.82777146122758e-05,1,-7.70576302161494e-20,1.47210042697088e-19,1,0.00652234756030476,0.0163762563016298,0.0163762563016298,0.000290094583144852,0.00265900651085749,-0.00602366899317761,-0.00602366899317761,-0.00677038796632783,1,-5.42101086242752e-20,6.7762635780344e-21,1,0.00652233376132085,0.0163765761503856,0.0163765761503856,0.000290141646006421,0.00265895043133988,-0.00602378664296263,-0.00602378664296263,-0.00677035196191499,8.92653516641998,51.8545976926976,14.8934295454656,-7.19965897167047,14.8934295454656,-7.19965897167047,-17.6575509104466,-13.5883330261051,4.33680868994202e-18,4.62658663254359e-20,-1.0551928703079e-19,0.000725338714604869,8.86593814876627e-12,5.96643800746e-09,1.44531978631086e-11,2.62587549422588e-19,1.38777878078145e-17,1.47836101108888e-13
7,NC_k0006,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.25276557303716,-71.8659566067825,-82.9894043747106,-71.1502657859384,-83.7456418996034,71.2427565026411,83.8242116596085,71.442592475774,84.0740783793311,1,1280,0.321913941380359,0.103150420486091,0.140271239415915,-0.0153562105785769,-4.86764081897309e-19,5.40116955680108e-19,0,-1.10569656410027e-18,0.000124227730760898,-0.000126924451163785,1,-3.18970870663525e-20,1.47121808290067e-20,1,-0.00398200939445784,0.00754742661982021,0.00754742661982021,0.00927323019774596,-0.0149178558947045,0.000283080721679624,0.000283080721679624,0.00430866511930741,1,0,0,1,-0.00398193175358873,0.00754757403049637,0.00754757403049637,0.00927317839291593,-0.014917787916552,0.00028308625059997,0.00028308625059997,0.0043085453384656,-10.9620075091641,31.1539023208417,-10.3603881972152,9.83893746395191,-10.3603881972152,9.83893746395191,-3.08486073705486,13.2842412483617,1.73472347597681e-18,1.79732683608425e-20,2.72259523435757e-19,0.000517634453658571,1.0912716388505e-11,6.50814481101239e-09,1.12276247810543e-11,1.61106855324883e-19,8.67361737988404e-18,8.61719916607223e-14
8,NC_k0007,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.185935745402466,-58.0755117492003,81.4274825860886,-59.184796350095,83.1226888676273,58.368280654685,-82.6844644952351,59.7211714877821,-84.2050690392147,1,1280,-0.293933847732422,-0.222384161172862,-0.170384942938757,0.153716941856663,8.98942942321936e-19,-6.00738265505411e-19,0,-1.37419790890305e-18,0.000995503807513811,-0.000938896311129746,1,2.15253474350165e-20,5.51142692671365e-20,1,0.00182057138377452,-0.00383757236604354,-0.00383757236604354,0.0157517137559357,0.00454043346890259,-0.00171840194232206,-0.00171840194232206,-0.0105011252064776,1,0,0,1,0.0018206823080174,-0.00383764731862881,-0.00383764731862881,0.0157516886338664,0.00454034547132181,-0.00171843550485999,-0.00171843550485999,-0.0105010663138369,-7.89746817097964,-18.7004010301837,8.46808787960906,9.92509128559788,8.46808787960906,9.92509128559788,-8.96488127724951,-14.6504484020902,1.40946282423116e-18,-3.38503124687005e-19,2.461409006533e-19,0.000628085421590059,1.39247677357495e-11,3.87902611183406e-09,1.14221548396143e-11,1.08309781232833e-19,6.93889390390723e-18,1.94955338574764e-13
9,NC_k0008,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.322040571465276,17.4422629002708,117.537469560335,16.8423933318146,118.820398042745,-17.0756517880018,-118.881887255971,-16.4755444761748,-119.07834678171,1,1280,-0.110303325869958,0.254986884965146,0.0477455745013993,0.107022564820097,7.23583134002532e-20,7.39342708279863e-19,0,-2.90971588958865e-18,-0.000156383155355015,-0.000316045580922363,1,-1.78123018858588e-21,-2.13180032583338e-19,1,-0.00032464051765847,-0.00270771985033662,-0.00270771985033662,-0.00777483302139315,0.0130076576265531,0.00866451467893541,0.00866451467893541,-0.00937239892902188,1,0,2.16840434497101e-19,1,-0.000324696669656875,-0.00270777273548994,-0.00270777273548994,-0.00777481641760538,0.0130075572240765,0.00866468390773773,0.00866468390773773,-0.00937228077625868,2.76252208110185,-16.4882891470557,14.7360176001253,-1.26421631649583,14.7360176001253,-1.26421631649583,31.1444641261508,-19.1866907451433,2.38524477946811e-18,5.22372586791643e-22,2.76907699727704e-19,0.00067367293935644,6.30202751093892e-12,4.81356541083567e-09,9.28828961483889e-12,3.84930486756514e-19,8.67361737988404e-18,5.96997659625282e-14
10,NC_k0009,8,8,-0.00115131578947369,-0.00115131578947369,0.01,1,0.354451244907546,59.9094702137163,-103.53788753305,61.406085773742,-105.92158571398,-58.940195380842,104.981469434812,-60.5273509044271,106.728318538171,1,1280,0.249223819117451,0.565231973095925,0.268770411430401,-0.179600595393696,-3.94413709203979e-19,-5.07769782099351e-18,0,9.05121981497707e-19,0.000327897384080798,0.000970667488986857,1,-4.83950136017503e-20,-1.99876844185296e-19,1,0.00519928019819397,0.000838001429410396,0.000838001429410396,-0.00973762720273094,-0.00541928592851949,0.00975559370658176,0.00975559370658176,0.0123654189958392,1,0,5.42101086242752e-20,1,0.00519919618412706,0.000838017796625814,0.000838017796625814,-0.00973756534856151,-0.00541918213080729,0.00975578424552134,0.00975578424552134,0.0123653491147924,10.4245069524605,9.54892129754747,-11.9236002990358,-5.89320304107145,-11.9236002990358,-5.89320304107145,37.7198425866041,18.1313356560827,2.60208521396521e-18,1.62354075980433e-19,4.8329638154533e-19,0.000588495232083831,8.08752830044649e-12,5.18129647683806e-09,1.27760049118942e-11,4.13516439980258e-19,9.54097911787244e-18,1.35732118539786e-13
